Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
124,Jeffrey Heflin,1186,488,18:59 - s,22,216 reps - s,378,129 reps - s,280,218 reps - s,18,7:29 - s
125,Ulises Orduno,1201,106,16:03 - s,124,177 reps - s,318,131 reps - s,180,232 reps - s,473,11:20 - s
126,Mike Schneider,1206,622,19:36 - s,225,166 reps - s,85,191 reps - s,191,230 reps - s,83,8:32 - s
127,Tommy Park,1217,399,18:28 - s,180,170 reps - s,90,191 reps - s,351,212 reps - s,197,9:31 - s
128,Josh Mccormick,1220,356,18:09 - s,200,170 reps - s,138,167 reps - s,361,211 reps - s,165,9:17 - s
129,Shaun Mcpherson,1222,67,15:26 - s,43,204 reps - s,915,71 reps - s,47,253 reps - s,150,9:09 - s
130,Vilien Fernandez,1224,157,16:37 - s,241,163 reps - s,193,154 reps - s,279,219 reps - s,354,10:35 - s
131,Max Negron,1231,382,18:20 - s,280,159 reps - s,272,141 reps - s,167,234 reps - s,130,8:56 - s
132,Jimmy Liddell,1244,537,19:15 - s,213,168 reps - s,160,166 reps - s,259,220 reps - s,75,8:29 - s
133,Stephen Patterson,1245,323,17:59 - s,501,139 reps - s,276,141 reps - s,42,255 reps - s,103,8:42 - s
134,Alberto Perkinson,1253,127,16:17 - s,560,136 reps - s,461,115 reps - s,49,252 reps - s,56,8:17 - s
134,Brandt Burnett,1253,116,16:08 - s,184,170 reps - s,320,131 reps - s,239,221 reps - s,394,10:51 - s
136,Gustavo Lizana,1256,177,16:48 - s,91,187 reps - s,531,105 reps - s,208,226 reps - s,249,9:47 - s
137,Peyton Mcdonald,1257,166,16:42 - s,279,159 reps - s,178,155 reps - s,429,207 reps - s,205,9:33 - s
138,Jonathan Johnson,1260,272,17:40 - s,430,142 reps - s,189,154 reps - s,164,234 reps - s,205,9:33 - s
139,Jason Woodall,1267,238,17:24 - s,276,160 reps - s,209,154 reps - s,323,215 reps - s,221,9:36 - s
140,Steve Willingham,1283,247,17:27 - s,154,173 reps - s,364,130 reps - s,225,224 reps - s,293,10:07 - s
141,Andy Hernandez,1284,870,216 reps - s,257,162 reps - s,11,17:22 - s,101,243 reps - s,45,7:59 - s
141,Jackson Ingram,1284,214,17:08 - s,478,141 reps - s,32,22:10 - s,418,208 reps - s,142,9:04 - s
143,Eduardo Halvorssen,1291,359,18:11 - s,603,134 reps - s,192,154 reps - s,102,243 reps - s,35,7:51 - s
144,Matteo Focchi,1324,637,19:40 - s,184,170 reps - s,416,118 reps - s,82,246 reps - s,5,6:43 - s
145,Travis Stowe,1346,208,17:05 - s,40,204 reps - s,88,191 reps - s,559,200 reps - s,451,11:14 - s
146,Shane Jeter,1348,410,18:32 - s,145,174 reps - s,195,154 reps - s,180,232 reps - s,418,10:59 - s
147,Randy Stidham,1351,293,17:46 - s,324,153 reps - s,301,132 reps - s,254,220 reps - s,179,9:23 - s
148,Ricky Smith,1352,640,19:41 - s,50,202 reps - s,44,23:10 - s,224,225 reps - s,394,10:51 - s
149,Andy Bangs,1369,648,19:42 - s,79,190 reps - s,84,191 reps - s,187,231 reps - s,371,10:41 - s
150,Chris Doten,1377,357,18:10 - s,126,177 reps - s,456,117 reps - s,144,238 reps - s,294,10:08 - s
151,Jeff Raymond,1394,195,17:00 - s,114,180 reps - s,766,93 reps - s,211,226 reps - s,108,8:46 - s
152,Dave Werner,1405,189,16:58 - s,237,164 reps - s,259,141 reps - s,173,233 reps - s,547,11:51 - s
153,Alex Harris,1406,189,16:58 - s,578,136 reps - s,219,143 reps - s,263,220 reps - s,157,9:12 - s
154,William McNair,1428,225,17:14 - s,245,163 reps - s,265,141 reps - s,545,200 reps - s,148,9:08 - s
155,Nathan Neuman,1429,257,17:32 - s,97,184 reps - s,241,142 reps - s,433,207 reps - s,401,10:53 - s
156,Thomas Williamson,1441,315,17:56 - s,215,168 reps - s,554,105 reps - s,292,217 reps - s,65,8:26 - s
157,Tom Jones,1446,234,17:21 - s,626,132 reps - s,296,132 reps - s,69,249 reps - s,221,9:36 - s
158,Aldene Codeceira,1452,631,19:38 - s,680,127 reps - s,17,19:30 - s,75,247 reps - s,49,8:11 - s
159,Rick Wheeler,1453,427,18:39 - s,420,142 reps - s,122,178 reps - s,297,217 reps - s,187,9:25 - s
160,Kip Vickers,1455,62,15:20 - s,117,180 reps - s,1053,67 reps - s,93,245 reps - s,130,8:56 - s
161,Cameron Jessee,1460,301,17:49 - s,208,169 reps - s,358,130 reps - s,214,225 reps - s,379,10:44 - s
162,Roger Owens,1462,81,15:43 - s,67,196 reps - s,1113,60 reps - s,89,245 reps - s,112,8:49 - s
163,Rich Heinzman,1471,193,16:59 - s,138,175 reps - s,434,117 reps - s,476,205 reps - s,230,9:39 - s
164,Neal Bohannon,1490,519,19:10 - s,250,162 reps - s,217,143 reps - s,283,218 reps - s,221,9:36 - s
165,Joey Harrison,1493,230,17:17 - s,793,120 reps - s,203,154 reps - s,189,230 reps - s,78,8:30 - s
166,Ryan Banks,1494,225,17:14 - s,252,162 reps - s,559,105 reps - s,320,215 reps - s,138,9:01 - s
167,Therian Webb,1495,238,17:24 - s,546,136 reps - s,232,142 reps - s,263,220 reps - s,216,9:35 - s
168,Ben Barrett,1518,236,17:23 - s,231,165 reps - s,541,105 reps - s,440,206 reps - s,70,8:28 - s
169,Chris Callahan,1528,457,18:50 - s,646,129 reps - s,326,131 reps - s,67,249 reps - s,32,7:50 - s
170,Danny Engle,1536,142,16:29 - s,72,192 reps - s,255,141 reps - s,751,191 reps - s,316,10:19 - s
171,Brent Whitaker,1541,9,12:54 - s,10,222 reps - s,1389,0,113,241 reps - s,20,7:37 - s
172,Neil Kiperman,1546,320,17:58 - s,127,177 reps - s,673,96 reps - s,80,247 reps - s,346,10:31 - s
172,Szabi Dobos,1546,349,18:08 - s,398,144 reps - s,125,178 reps - s,232,223 reps - s,442,11:12 - s
174,Eugene Shelton,1549,364,18:12 - s,357,146 reps - s,290,135 reps - s,291,217 reps - s,247,9:46 - s
175,Ben Bancroft,1562,749,223 reps - s,53,201 reps - s,238,142 reps - s,398,209 reps - s,124,8:54 - s
176,Daniel Schumann,1563,281,17:43 - s,286,158 reps - s,605,104 reps - s,321,215 reps - s,70,8:28 - s
177,Parker Hansen,1566,131,16:20 - s,62,196 reps - s,1140,58 reps - s,43,255 reps - s,190,9:28 - s
178,Paul Bridgers,1567,737,224 reps - s,299,156 reps - s,42,22:57 - s,315,215 reps - s,174,9:20 - s
179,Will Dg,1570,457,18:50 - s,234,165 reps - s,71,203 reps - s,564,200 reps - s,244,9:45 - s
180,Andrew Zerick,1576,187,16:57 - s,196,170 reps - s,538,105 reps - s,254,220 reps - s,401,10:53 - s
181,D'Marcus Purcell,1578,370,18:14 - s,209,169 reps - s,568,105 reps - s,316,215 reps - s,115,8:50 - s
182,Vaughan Dugan,1581,211,17:07 - s,165,172 reps - s,502,106 reps - s,170,233 reps - s,533,11:46 - s
183,Marc Sundook,1592,411,18:33 - s,181,170 reps - s,205,154 reps - s,346,212 reps - s,449,11:13 - s
184,Jeff Miller,1594,140,16:28 - s,222,166 reps - s,687,95 reps - s,313,215 reps - s,232,9:40 - s
185,Gary Price,1597,506,19:05 - s,622,132 reps - s,36,22:18 - s,97,244 reps - s,336,10:26 - s
186,Zack Bentley,1605,98,15:56 - s,35,208 reps - s,1163,57 reps - s,131,239 reps - s,178,9:22 - s
