Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
141,Peter Baxter,1032,179,17:30 - s,284,125 reps - s,405,81 reps - s,72,236 reps - s,92,9:20 - s
142,Jim Pegg,1040,110,16:36 - s,354,119 reps - s,187,118 reps - s,255,204 reps - s,134,9:54 - s
143,Yanick Leduc,1043,178,17:29 - s,167,142 reps - s,190,118 reps - s,273,202 reps - s,235,11:06 - s
144,Antoine Abram,1044,205,17:54 - s,76,171 reps - s,394,82 reps - s,171,211 reps - s,198,10:39 - s
145,Juan Gonzalez,1049,64,15:37 - s,28,196 reps - s,142,131 reps - s,165,212 reps - s,650,0
145,Carl St-Gelais,1049,377,19:47 - s,228,136 reps - s,110,141 reps - s,99,226 reps - s,235,11:06 - s
147,Adam Vickers,1052,161,17:11 - s,443,111 reps - s,42,178 reps - s,177,210 reps - s,229,11:01 - s
147,Daniel Kooy,1052,197,17:46 - s,359,118 reps - s,166,129 reps - s,172,210 reps - s,158,10:10 - s
149,Eric Dallaire,1053,55,15:23 - s,86,170 reps - s,158,129 reps - s,104,223 reps - s,650,0
149,Mike Newton,1053,420,224 reps - s,161,143 reps - s,76,143 reps - s,296,200 reps - s,100,9:25 - s
151,Stphane Pelland,1054,235,18:17 - s,538,92 reps - s,155,129 reps - s,87,230 reps - s,39,8:23 - s
151,Sbastien Naud,1054,295,19:00 - s,177,141 reps - s,232,106 reps - s,136,216 reps - s,214,10:49 - s
153,Matthew Foot,1056,173,17:18 - s,170,141 reps - s,144,130 reps - s,325,197 reps - s,244,11:12 - s
154,Ryan French,1058,361,19:36 - s,123,157 reps - s,127,134 reps - s,221,206 reps - s,226,10:59 - s
155,Patrick Gervais,1081,28,14:35 - s,142,148 reps - s,229,106 reps - s,32,250 reps - s,650,0
156,Stuart Wheal,1091,112,16:39 - s,125,157 reps - s,280,104 reps - s,237,205 reps - s,337,12:27 - s
157,Neil Dowding,1092,295,19:00 - s,249,132 reps - s,53,166 reps - s,289,201 reps - s,206,10:44 - s
158,Louis Frechette,1098,66,15:39 - s,413,113 reps - s,326,94 reps - s,60,239 reps - s,233,11:03 - s
159,Daniel Boivin,1107,406,19:59 - s,201,137 reps - s,129,132 reps - s,161,212 reps - s,210,10:46 - s
159,Tim Simony,1107,165,17:13 - s,275,127 reps - s,219,107 reps - s,234,205 reps - s,214,10:49 - s
161,Bryson Bell,1109,235,18:17 - s,480,105 reps - s,15,23:32 - s,323,197 reps - s,56,8:39 - s
161,Neil Huctwith,1109,89,16:16 - s,252,131 reps - s,409,81 reps - s,170,211 reps - s,189,10:31 - s
163,Adam Kostanowicz,1115,193,17:40 - s,235,135 reps - s,72,154 reps - s,494,179 reps - s,121,9:43 - s
164,Eric Roberge,1120,251,18:26 - s,245,132 reps - s,206,107 reps - s,331,196 reps - s,87,9:14 - s
165,Dj Lehto,1122,337,19:24 - s,201,137 reps - s,140,131 reps - s,187,209 reps - s,257,11:18 - s
166,Gabe Mensah,1126,349,19:32 - s,79,170 reps - s,47,168 reps - s,1,295 reps - s,650,0
166,Stephen Strachan,1126,283,18:48 - s,162,143 reps - s,228,106 reps - s,265,203 reps - s,188,10:30 - s
168,Pierre Loubersac,1128,201,17:48 - s,361,118 reps - s,176,119 reps - s,118,220 reps - s,272,11:27 - s
169,Craig Griffith,1130,436,222 reps - s,37,186 reps - s,100,142 reps - s,241,205 reps - s,316,12:09 - s
170,Samuel Chevrette,1136,326,19:17 - s,204,137 reps - s,208,107 reps - s,266,203 reps - s,132,9:51 - s
