Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
152,Isai Ivan Bahena Crisanto,1757,659,16:48 - s,206,199 reps - s,178,191 reps - s,137,255 reps - s,577,9:36 - s
153,Gabriel Brochier,1760,212,14:57 - s,337,182 reps - s,477,154 reps - s,61,265 reps - s,673,9:53 - s
154,Rafael Flores,1789,130,14:23 - s,157,204 reps - s,742,131 reps - s,468,234 reps - s,292,8:34 - s
155,Sang Hyun Im,1811,172,14:41 - s,319,183 reps - s,961,124 reps - s,144,254 reps - s,215,8:16 - s
156,Lucas Almeida,1820,139,14:26 - s,559,172 reps - s,214,191 reps - s,208,250 reps - s,700,9:57 - s
157,Federico Latini,1826,123,14:17 - s,454,175 reps - s,514,143 reps - s,49,269 reps - s,686,9:55 - s
158,Leandro Konatu,1829,12,12:39 - s,217,196 reps - s,956,125 reps - s,389,237 reps - s,255,8:25 - s
159,Rafael Candelaria,1843,630,16:42 - s,236,196 reps - s,282,168 reps - s,378,238 reps - s,317,8:40 - s
160,Dante Teixeira,1848,1026,17:50 - s,167,204 reps - s,210,191 reps - s,103,260 reps - s,342,8:48 - s
161,Humberto Silva Alves,1882,8,12:28 - s,68,214 reps - s,1616,96 reps - s,132,255 reps - s,58,7:18 - s
161,Marcos Vinicius Pereira,1882,1025,17:49 - s,220,196 reps - s,128,204 reps - s,291,243 reps - s,218,8:17 - s
163,Eduardo Vidal,1888,602,16:36 - s,116,209 reps - s,321,167 reps - s,108,259 reps - s,741,10:02 - s
164,Arturo Fonseca,1914,384,15:44 - s,153,204 reps - s,469,154 reps - s,429,236 reps - s,479,9:19 - s
165,Kau Almeida Rode,1920,1113,18:03 - s,487,175 reps - s,73,21:28 - s,143,254 reps - s,104,7:40 - s
166,Raul Alejandro Colombo,1922,914,17:30 - s,159,204 reps - s,419,155 reps - s,153,253 reps - s,277,8:31 - s
167,Hugo Solano,1928,206,14:55 - s,248,194 reps - s,170,191 reps - s,1179,205 reps - s,125,7:49 - s
168,Rafael Heck,1931,702,16:57 - s,485,175 reps - s,256,178 reps - s,308,242 reps - s,180,8:05 - s
169,Matias Stiglitz,1937,905,17:29 - s,130,207 reps - s,139,203 reps - s,290,243 reps - s,473,9:16 - s
170,Bruno Ramos,1938,519,16:15 - s,547,172 reps - s,103,23:19 - s,346,240 reps - s,423,9:06 - s
171,Juan Surez,1942,86,13:59 - s,387,180 reps - s,794,131 reps - s,595,228 reps - s,80,7:31 - s
172,Nicolas Riveros,1958,586,16:31 - s,553,172 reps - s,266,178 reps - s,276,244 reps - s,277,8:31 - s
173,Marcio Pacheco,1979,151,14:32 - s,920,154 reps - s,472,154 reps - s,252,246 reps - s,184,8:06 - s
174,Pedro Henrique de Oliveira Ribeiro,1980,206,14:55 - s,754,163 reps - s,644,141 reps - s,145,253 reps - s,231,8:20 - s
175,William Alvares,1988,318,15:25 - s,440,176 reps - s,421,155 reps - s,274,245 reps - s,535,9:31 - s
176,Julio Cornejo,2008,185,14:47 - s,1331,141 reps - s,98,23:03 - s,250,246 reps - s,144,7:55 - s
177,Dilso Neto,2020,309,15:23 - s,257,193 reps - s,634,141 reps - s,168,251 reps - s,652,9:49 - s
178,Sidney Castro,2026,70,13:51 - s,15,238 reps - s,1148,108 reps - s,678,223 reps - s,115,7:44 - s
178,Elvin Perez,2026,471,16:06 - s,865,158 reps - s,74,21:35 - s,220,249 reps - s,396,9:00 - s
180,Alisson Mendes,2028,715,16:59 - s,318,183 reps - s,195,191 reps - s,215,249 reps - s,585,9:37 - s
181,Rafael Barreto,2034,111,14:12 - s,537,173 reps - s,662,141 reps - s,305,242 reps - s,419,9:05 - s
182,Ezequiel Riera,2043,181,14:46 - s,687,169 reps - s,547,142 reps - s,181,251 reps - s,447,9:11 - s
183,Emiliano Sochi,2052,1283,18:28 - s,215,196 reps - s,61,20:32 - s,288,243 reps - s,205,8:13 - s
184,Pedro Ochoa,2060,425,15:53 - s,906,156 reps - s,163,191 reps - s,444,235 reps - s,122,7:48 - s
185,Leonardo Fontana,2061,356,15:36 - s,254,193 reps - s,545,143 reps - s,427,236 reps - s,479,9:19 - s
186,Lucas Perez,2073,212,14:57 - s,137,205 reps - s,1228,106 reps - s,40,272 reps - s,456,9:12 - s
187,Gutemberg Martins,2076,80,13:55 - s,302,186 reps - s,786,131 reps - s,497,232 reps - s,411,9:02 - s
188,Enzo Oliveira,2082,13,12:42 - s,342,181 reps - s,429,154 reps - s,683,222 reps - s,615,9:43 - s
189,Andr Sa,2087,217,14:58 - s,87,212 reps - s,1107,117 reps - s,91,260 reps - s,585,9:37 - s
190,Bruno Damasceno,2106,185,14:47 - s,282,189 reps - s,293,167 reps - s,1037,210 reps - s,309,8:39 - s
191,Arthur Portilho,2108,607,16:37 - s,291,188 reps - s,41,19:16 - s,814,218 reps - s,355,8:51 - s
192,Filipe Luis Stanguerlin,2110,130,14:23 - s,86,212 reps - s,824,130 reps - s,442,235 reps - s,628,9:45 - s
193,Glauber De la fuente,2125,597,16:35 - s,739,164 reps - s,183,191 reps - s,29,275 reps - s,577,9:36 - s
194,Douglas Dias Fernandes,2127,496,16:11 - s,143,204 reps - s,569,142 reps - s,653,224 reps - s,266,8:28 - s
195,Rodrigo Rocha,2131,239,15:03 - s,167,204 reps - s,138,203 reps - s,1131,207 reps - s,456,9:12 - s
196,Ramiro Baez,2138,490,16:10 - s,373,180 reps - s,757,131 reps - s,159,252 reps - s,359,8:52 - s
197,Fabio Alves,2153,519,16:15 - s,41,222 reps - s,294,167 reps - s,852,217 reps - s,447,9:11 - s
198,Eduardo Takeshi Yoshioka,2162,324,15:27 - s,758,163 reps - s,411,155 reps - s,616,226 reps - s,53,7:12 - s
199,Rafael Antonio Solorzano Maestre,2169,826,17:16 - s,310,185 reps - s,446,154 reps - s,270,245 reps - s,317,8:40 - s
200,Polly Ruiz,2172,326,15:28 - s,407,178 reps - s,807,130 reps - s,198,250 reps - s,434,9:08 - s
201,Alessandro Brummel Cordeiro Santos,2173,763,17:07 - s,654,170 reps - s,503,147 reps - s,116,258 reps - s,137,7:53 - s
202,Marco Antonio Mendes Ferreira,2198,559,16:25 - s,73,214 reps - s,1189,107 reps - s,181,251 reps - s,196,8:09 - s
203,Igor Ditzel Kritski,2200,206,14:55 - s,416,177 reps - s,442,154 reps - s,342,240 reps - s,794,10:13 - s
203,Diogo Soares,2200,272,15:13 - s,445,175 reps - s,249,178 reps - s,1025,210 reps - s,209,8:14 - s
205,Wilton Cunha,2203,564,16:26 - s,125,208 reps - s,470,154 reps - s,653,224 reps - s,391,8:59 - s
205,Marcelo Bermudez,2203,148,14:31 - s,567,171 reps - s,449,154 reps - s,845,217 reps - s,194,8:08 - s
207,Jovane Domingos,2204,128,14:21 - s,167,204 reps - s,1218,107 reps - s,451,235 reps - s,240,8:21 - s
208,Hamilton Pereira,2205,726,17:00 - s,360,180 reps - s,229,179 reps - s,642,225 reps - s,248,8:23 - s
209,Antonio Mota Filho,2240,41,13:23 - s,275,190 reps - s,1011,119 reps - s,534,230 reps - s,379,8:56 - s
210,Felipe Villar,2242,403,15:49 - s,609,170 reps - s,376,157 reps - s,552,230 reps - s,302,8:37 - s
211,Makys Deftereos,2248,125,14:19 - s,274,190 reps - s,326,166 reps - s,415,236 reps - s,1108,11:04 - s
212,Kelvin Candelaria,2252,158,14:37 - s,351,180 reps - s,896,129 reps - s,482,233 reps - s,365,8:53 - s
213,Juan Ordoez,2266,507,16:13 - s,357,180 reps - s,425,154 reps - s,328,241 reps - s,649,9:48 - s
214,Tharleton Barbosa,2281,246,15:05 - s,356,180 reps - s,262,178 reps - s,905,215 reps - s,512,9:27 - s
215,Leandro Rosa,2282,530,16:18 - s,75,214 reps - s,837,130 reps - s,393,237 reps - s,447,9:11 - s
216,Gustavo Abreu,2284,305,15:22 - s,300,186 reps - s,822,130 reps - s,187,250 reps - s,670,9:52 - s
217,Roberto Molina,2305,572,16:28 - s,487,175 reps - s,154,192 reps - s,701,221 reps - s,391,8:59 - s
218,Andre Paz,2310,471,16:06 - s,135,206 reps - s,389,155 reps - s,929,214 reps - s,386,8:58 - s
219,Jean Valencio,2324,1421,18:45 - s,572,171 reps - s,174,191 reps - s,79,262 reps - s,78,7:30 - s
220,Carlos Semmer Costa,2328,374,15:41 - s,204,199 reps - s,264,178 reps - s,964,212 reps - s,522,9:28 - s
221,Jose Perez,2348,341,15:31 - s,536,173 reps - s,296,167 reps - s,866,216 reps - s,309,8:39 - s
222,Wilfredo Rosario,2359,692,16:55 - s,1344,141 reps - s,53,20:14 - s,194,250 reps - s,76,7:29 - s
223,Mrcio Christiano dos Santos Oliveira,2369,742,17:02 - s,609,170 reps - s,120,215 reps - s,801,219 reps - s,97,7:36 - s
224,Ernane Marques,2376,331,15:29 - s,505,175 reps - s,320,167 reps - s,404,237 reps - s,816,10:17 - s
225,Rafael de Paula,2380,928,17:32 - s,623,170 reps - s,166,191 reps - s,479,233 reps - s,184,8:06 - s
226,Alan Plimps,2382,464,16:03 - s,495,175 reps - s,103,23:19 - s,1200,205 reps - s,120,7:47 - s
227,Pablo Renteria,2393,23,13:00 - s,223,196 reps - s,1953,92 reps - s,38,273 reps - s,156,7:58 - s
228,Rodrigo Rozette,2404,281,15:15 - s,278,190 reps - s,614,141 reps - s,688,222 reps - s,543,9:32 - s
