Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
196,Suk ho Hong,1387,338,18:19 - s,197,162 reps - s,267,106 reps - s,375,189 reps - s,210,9:58 - s
197,Fei Han,1390,645,213 reps - s,152,170 reps - s,233,117 reps - s,234,208 reps - s,126,8:52 - s
198,Sachin Nijhawan,1391,241,17:24 - s,173,167 reps - s,445,81 reps - s,103,234 reps - s,429,13:06 - s
199,Masato Obayashi,1399,99,15:18 - s,207,158 reps - s,353,94 reps - s,428,182 reps - s,312,11:25 - s
200,Hwa Seob Shin,1405,550,20:00 - s,353,128 reps - s,118,154 reps - s,207,213 reps - s,177,9:31 - s
201,Chee Siong Tan,1411,364,18:36 - s,382,125 reps - s,218,118 reps - s,189,216 reps - s,258,10:36 - s
202,Daisuke Yamada,1421,535,19:55 - s,271,141 reps - s,130,142 reps - s,199,214 reps - s,286,11:06 - s
203,Artur Nurlygayanov,1428,106,15:25 - s,86,181 reps - s,555,67 reps - s,316,197 reps - s,365,12:04 - s
204,Park Jin Hyeong,1451,286,17:52 - s,392,124 reps - s,188,129 reps - s,395,186 reps - s,190,9:41 - s
205,Jaesin Lee,1455,198,16:42 - s,165,169 reps - s,228,117 reps - s,127,228 reps - s,737,0
206,Kester Sze,1459,271,17:44 - s,273,141 reps - s,37,23:59 - s,141,225 reps - s,737,0
207,Kibong Lee,1464,156,16:00 - s,115,175 reps - s,200,120 reps - s,806,0,187,9:39 - s
208,Shunyi Fu,1465,378,18:49 - s,239,146 reps - s,254,107 reps - s,313,197 reps - s,281,11:02 - s
209,Jongbae Kim,1466,140,15:50 - s,869,0,127,142 reps - s,298,199 reps - s,32,6:58 - s
210,Alan Chan,1468,111,15:28 - s,146,170 reps - s,184,129 reps - s,806,0,221,10:06 - s
211,Eugene Lisenkin Fox,1470,290,17:53 - s,170,167 reps - s,289,105 reps - s,334,194 reps - s,387,12:30 - s
212,Maksim Yurkin,1471,188,16:29 - s,219,155 reps - s,365,94 reps - s,294,200 reps - s,405,12:43 - s
213,Kenta Jinnouchi,1480,135,15:47 - s,208,158 reps - s,468,71 reps - s,353,191 reps - s,316,11:26 - s
214,Wu Zhong,1482,331,18:17 - s,195,162 reps - s,309,104 reps - s,345,193 reps - s,302,11:14 - s
215,Rohit Rana,1485,320,18:09 - s,365,128 reps - s,62,178 reps - s,1,319 reps - s,737,0
216,Jm Broncate,1491,522,19:49 - s,178,166 reps - s,385,92 reps - s,84,240 reps - s,322,11:30 - s
217,Dong-soon Park,1514,331,18:17 - s,253,143 reps - s,318,104 reps - s,251,206 reps - s,361,12:01 - s
218,Jeonghue Choi,1516,318,18:08 - s,305,137 reps - s,257,107 reps - s,531,165 reps - s,105,8:31 - s
219,Hyungryun Jeong,1522,268,17:42 - s,374,126 reps - s,402,84 reps - s,311,197 reps - s,167,9:27 - s
220,Mohd firdaus Mohd sahir,1527,396,18:58 - s,410,123 reps - s,282,106 reps - s,200,214 reps - s,239,10:20 - s
221,Maxim Verkhoturov,1534,135,15:47 - s,82,183 reps - s,155,137 reps - s,806,0,356,11:57 - s
222,Fred Li,1535,657,212 reps - s,279,140 reps - s,215,118 reps - s,185,216 reps - s,199,9:47 - s
223,Jong gun Jang,1543,150,15:55 - s,227,153 reps - s,119,154 reps - s,310,197 reps - s,737,0
224,Danish Detho,1549,369,18:41 - s,328,136 reps - s,406,84 reps - s,264,203 reps - s,182,9:37 - s
225,Myunghwan Park,1551,730,202 reps - s,237,147 reps - s,336,96 reps - s,131,227 reps - s,117,8:44 - s
