Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
224,Webb Yoder,1787,257,17:23 - s,321,149 reps - s,487,119 reps - s,229,221 reps - s,493,11:39 - s
225,Johnathon Hawley-Molloy,1794,252,17:20 - s,153,174 reps - s,914,82 reps - s,177,230 reps - s,298,10:11 - s
226,Ramon Dones,1798,359,18:09 - s,105,180 reps - s,100,191 reps - s,381,208 reps - s,853,14:40 - s
227,Oscar Medina,1802,282,17:36 - s,427,141 reps - s,577,106 reps - s,391,207 reps - s,125,8:53 - s
228,Cody Phillips,1804,361,18:10 - s,599,128 reps - s,371,131 reps - s,377,208 reps - s,96,8:33 - s
228,Ruger Stocking,1804,203,16:52 - s,436,140 reps - s,218,154 reps - s,598,195 reps - s,349,10:34 - s
230,David Burgess,1817,414,18:34 - s,833,114 reps - s,132,179 reps - s,293,215 reps - s,145,9:04 - s
231,Trevor Jonsson,1819,86,15:29 - s,78,188 reps - s,171,167 reps - s,266,218 reps - s,1218,0
232,Chris Fite,1824,304,17:49 - s,316,151 reps - s,404,130 reps - s,614,195 reps - s,186,9:25 - s
233,Bob Drummond,1825,229,17:08 - s,455,139 reps - s,568,107 reps - s,335,212 reps - s,238,9:40 - s
234,Anthony Valle,1833,304,17:49 - s,254,162 reps - s,390,131 reps - s,751,187 reps - s,134,8:56 - s
